f[Hz]	Sxx[m^2/Hz]
10	7.13289E-20
10.1	6.35446E-20
10.2	2.32994E-20
10.3	3.90188E-20
10.4	6.48174E-20
10.5	8.79203E-20
10.6	8.74724E-20
10.7	4.78317E-20
10.8	6.47615E-20
10.9	9.61511E-20
11	1.08371E-19
11.1	6.33799E-20
11.2	9.41183E-20
11.3	8.53643E-20
11.4	3.86981E-20
11.5	8.24906E-20
11.6	5.61551E-20
11.7	1.07023E-19
11.8	7.10846E-20
11.9	7.88584E-20
12	1.34151E-19
12.1	6.51871E-20
12.2	8.96277E-20
12.3	7.77289E-20
12.4	4.72257E-20
12.5	5.39115E-20
12.6	5.54312E-20
12.7	7.09507E-20
12.8	9.20523E-20
12.9	7.34939E-20
13	9.49217E-20
13.1	5.57792E-20
13.2	9.40603E-20
13.3	4.75154E-20
13.4	3.7511E-20
13.5	7.82411E-20
13.6	8.90041E-20
13.7	6.99795E-20
13.8	7.4444E-20
13.9	4.92709E-20
14	6.93841E-20
14.1	4.99781E-20
14.2	6.822E-20
14.3	5.29214E-20
14.4	7.06686E-20
14.5	9.6933E-20
14.6	6.17487E-20
14.7	6.29992E-20
14.8	8.34203E-20
14.9	8.03093E-20
15	9.12615E-20
15.1	5.74109E-20
15.2	6.30404E-20
15.3	1.03143E-19
15.4	8.96973E-20
15.5	6.87496E-20
15.6	1.07731E-19
15.7	4.66727E-20
15.8	8.79373E-20
15.9	4.15325E-20
16	1.38823E-19
16.1	5.02085E-20
16.2	9.69184E-20
16.3	5.02477E-20
16.4	8.45256E-20
16.5	9.52699E-20
16.6	8.50013E-20
16.7	8.21825E-20
16.8	5.38115E-20
16.9	7.69028E-20
17	5.58431E-20
17.1	4.28426E-20
17.2	8.44307E-20
17.3	1.18259E-19
17.4	3.43027E-20
17.5	7.25696E-20
17.6	4.05538E-20
17.7	7.64594E-20
17.8	9.65012E-20
17.9	3.34747E-20
18	1.07076E-19
18.1	5.24385E-20
18.2	4.01041E-20
18.3	5.7361E-20
18.4	6.77682E-20
18.5	2.60892E-20
18.6	8.77137E-20
18.7	1.03287E-19
18.8	3.05917E-20
18.9	5.80952E-20
19	5.0216E-20
19.1	9.21677E-20
19.2	6.53861E-20
19.3	7.04988E-20
19.4	5.55242E-20
19.5	7.73593E-20
19.6	6.8769E-20
19.7	1.12896E-19
19.8	6.90006E-20
19.9	6.39835E-20
20	3.8404E-20
20.1	7.77653E-20
20.2	6.7125E-20
20.3	5.22776E-20
20.4	5.50742E-20
20.5	3.15274E-20
20.6	5.74814E-20
20.7	7.17399E-20
20.8	6.92953E-20
20.9	9.39571E-20
21	6.31905E-20
21.1	7.12081E-20
21.2	7.41969E-20
21.3	7.05389E-20
21.4	3.00348E-20
21.5	6.81934E-20
21.6	2.34692E-20
21.7	5.63671E-20
21.8	7.22672E-20
21.9	5.43881E-20
22	4.36394E-20
22.1	6.73149E-20
22.2	3.6788E-20
22.3	5.63151E-20
22.4	3.75977E-20
22.5	6.02785E-20
22.6	7.18977E-20
22.7	1.18598E-19
22.8	8.19022E-20
22.9	4.24106E-20
23	3.92425E-20
23.1	7.66311E-20
23.2	7.06342E-20
23.3	6.51766E-20
23.4	5.74378E-20
23.5	4.34828E-20
23.6	5.36482E-20
23.7	6.06601E-20
23.8	9.50884E-20
23.9	2.868E-20
24	1.02137E-19
24.1	6.48603E-20
24.2	6.89153E-20
24.3	8.5798E-20
24.4	5.81425E-20
24.5	4.76995E-20
24.6	5.05374E-20
24.7	1.61622E-19
24.8	5.18052E-20
24.9	2.28008E-20
25	5.67136E-20
25.1	5.74561E-20
25.2	3.35975E-20
25.3	8.73475E-20
25.4	4.97724E-20
25.5	1.10003E-19
25.6	5.99077E-20
25.7	4.30642E-20
25.8	7.97929E-20
25.9	1.05334E-19
26	6.06466E-20
26.1	5.53076E-20
26.2	4.39565E-20
26.3	1.31591E-19
26.4	7.12903E-20
26.5	7.90177E-20
26.6	1.48644E-19
26.7	4.88896E-20
26.8	7.99455E-20
26.9	1.16413E-19
27	4.32184E-20
27.1	5.95578E-20
27.2	7.01742E-20
27.3	5.8976E-20
