t[sec]	x[nm]
0	4.02527
3.33333E-5	6.57029
6.66667E-5	2.27988
1E-4	-0.09889
1.33333E-4	1.563
1.66667E-4	1.67011
2E-4	14.60328
2.33333E-4	15.66969
2.66667E-4	10.68231
3E-4	-2.83232
3.33333E-4	-7.16201
3.66667E-4	3.3665
4E-4	18.52665
4.33333E-4	14.91963
4.66667E-4	12.82427
5E-4	10.31287
5.33333E-4	6.26212
5.66667E-4	3.15854
6E-4	4.90504
6.33333E-4	4.26607
6.66667E-4	-0.69176
7E-4	2.75928
7.33333E-4	11.95565
7.66667E-4	-3.99859
8E-4	0.35951
8.33333E-4	-0.9012
8.66667E-4	5.91255
9E-4	6.32452
9.33333E-4	11.39485
9.66667E-4	6.602
0.001	12.54523
0.00103	7.6346
0.00107	6.92399
0.0011	0.72136
0.00113	-2.12093
0.00117	-2.7134
0.0012	-7.20827
0.00123	-9.75391
0.00127	-5.03908
0.0013	-6.02958
0.00133	-12.34252
0.00137	3.60027
0.0014	4.65603
0.00143	10.3134
0.00147	14.75112
0.0015	29.30531
0.00153	15.45868
0.00157	21.19854
0.0016	10.97765
0.00163	7.21694
0.00167	5.15311
0.0017	0.39907
0.00173	3.13867
0.00177	4.68174
0.0018	-4.28753
0.00183	-4.96425
0.00187	-1.27216
0.0019	1.84687
0.00193	-0.82651
0.00197	-5.49147
0.002	-1.18387
0.00203	1.29659
0.00207	-5.86659
0.0021	-8.44773
0.00213	-7.49453
0.00217	-5.20084
0.0022	-4.74162
0.00223	-5.61418
0.00227	-4.36098
0.0023	-0.83847
0.00233	-3.76016
0.00237	1.71042
0.0024	9.58836
0.00243	6.07138
0.00247	-0.994
0.0025	-2.67537
0.00253	-5.25602
0.00257	-15.59206
0.0026	-4.96172
0.00263	1.51281
0.00267	7.46477
0.0027	10.18153
0.00273	5.0561
0.00277	2.91027
0.0028	6.41028
0.00283	-2.4294
0.00287	-1.30399
0.0029	0.78892
0.00293	-7.86361
0.00297	-3.60703
0.003	-0.33735
0.00303	11.8571
0.00307	4.49706
0.0031	11.22822
0.00313	12.89564
0.00317	10.16618
0.0032	-2.3166
0.00323	1.01851
0.00327	0.28385
0.0033	-5.55822
0.00333	-1.60471
0.00337	4.11572
0.0034	10.93503
0.00343	11.09879
0.00347	8.83189
0.0035	13.01043
0.00353	5.98989
0.00357	5.63851
0.0036	3.50984
0.00363	-0.9333
0.00367	-0.04287
0.0037	3.488
0.00373	4.79291
0.00377	0.80439
0.0038	-3.04734
0.00383	-3.59091
0.00387	-3.18732
0.0039	-9.28985
0.00393	-9.00169
0.00397	1.41466
0.004	5.43127
0.00403	3.7316
0.00407	5.57941
0.0041	8.34702
0.00413	4.25543
0.00417	2.14227
0.0042	-1.59737
0.00423	-1.66721
0.00427	7.1558
0.0043	6.11743
0.00433	13.85189
0.00437	21.8722
0.0044	31.47901
0.00443	24.76111
0.00447	24.0107
0.0045	19.74666
0.00453	20.67208
0.00457	15.65672
0.0046	18.44619
0.00463	17.2115
0.00467	17.2409
0.0047	27.25238
0.00473	31.77723
0.00477	37.54673
0.0048	18.23965
0.00483	12.88742
0.00487	15.1204
0.0049	16.61416
0.00493	26.06255
0.00497	32.59447
0.005	27.06783
0.00503	17.94427
0.00507	0.39434
0.0051	11.52672
0.00513	15.67525
0.00517	4.09872
0.0052	-0.29161
0.00523	5.89335
0.00527	9.38457
0.0053	14.12049
0.00533	12.42284
0.00537	12.46059
0.0054	12.03756
0.00543	12.90033
0.00547	17.38582
0.0055	27.3753
0.00553	12.69554
0.00557	19.74405
0.0056	19.65901
0.00563	13.95253
0.00567	9.14331
0.0057	-2.08077
0.00573	1.37361
0.00577	1.63067
0.0058	1.76628
0.00583	-0.42327
0.00587	-3.48245
0.0059	8.55009
0.00593	7.93836
0.00597	23.03903
0.006	15.60188
0.00603	9.76212
0.00607	7.06742
0.0061	10.07168
0.00613	13.32926
0.00617	7.5661
0.0062	4.70383
0.00623	2.4608
0.00627	1.31895
0.0063	9.11959
0.00633	6.19551
0.00637	12.83105
0.0064	8.75413
0.00643	6.83919
0.00647	10.14576
0.0065	-1.403
0.00653	-0.5138
0.00657	5.49166
0.0066	2.38055
0.00663	10.33709
0.00667	24.67187
0.0067	12.81468
0.00673	-0.53273
0.00677	3.16535
0.0068	3.61469
0.00683	0.31061
0.00687	0.16491
0.0069	0.38491
0.00693	-5.51662
0.00697	-9.21056
0.007	-7.17966
0.00703	-4.16115
0.00707	-0.32082
0.0071	3.89891
0.00713	1.36757
0.00717	3.41037
0.0072	5.63609
0.00723	-0.9872
0.00727	-5.72592
0.0073	5.7413
0.00733	6.62432
0.00737	9.94014
0.0074	10.38492
0.00743	12.54423
0.00747	14.05837
0.0075	9.62136
0.00753	-1.06804
0.00757	-9.01927
0.0076	-6.16595
0.00763	-5.66512
0.00767	-7.6738
0.0077	-9.1089
0.00773	-9.38272
0.00777	-11.72392
0.0078	-3.20759
0.00783	1.1578
0.00787	-3.08837
0.0079	-0.04166
0.00793	-1.75105
0.00797	-4.94462
0.008	1.74148
0.00803	6.404
0.00807	4.32087
0.0081	11.77008
0.00813	20.79455
0.00817	21.68166
0.0082	17.614
0.00823	14.3402
0.00827	19.5949
0.0083	15.76565
0.00833	3.13381
0.00837	-8.03386
0.0084	-7.4844
0.00843	-2.53718
0.00847	-11.72054
0.0085	-9.2841
0.00853	-3.65823
0.00857	0.25221
0.0086	8.10738
0.00863	10.89719
0.00867	7.15835
0.0087	4.08575
0.00873	8.738
0.00877	9.8358
0.0088	12.5704
0.00883	10.67766
0.00887	10.36956
0.0089	8.61758
0.00893	9.00373
0.00897	9.5591
0.009	10.59026
0.00903	1.15509
0.00907	-5.79368
0.0091	-11.34737
0.00913	-7.09085
0.00917	1.05907
0.0092	1.77844
0.00923	-3.18874
0.00927	-5.27649
0.0093	-10.83852
0.00933	-21.23672
0.00937	-19.94405
0.0094	-14.2089
0.00943	-18.94534
0.00947	-17.7632
0.0095	-23.28046
0.00953	-18.58632
0.00957	-16.43755
0.0096	-8.47281
0.00963	0.31583
0.00967	6.74578
0.0097	8.44445
0.00973	1.20468
0.00977	0.57052
0.0098	0.61591
0.00983	6.13524
0.00987	7.21241
0.0099	5.46187
0.00993	11.34733
0.00997	1.58229
0.01	12.77542
0.01003	10.85236
0.01007	11.04092
0.0101	12.66356
0.01013	15.36539
0.01017	16.93537
0.0102	15.46048
0.01023	16.87966
0.01027	14.24938
0.0103	23.87316
0.01033	20.40998
0.01037	25.65962
0.0104	23.9668
0.01043	19.0973
0.01047	12.22437
0.0105	21.34632
0.01053	10.3342
0.01057	6.6108
0.0106	1.11068
0.01063	-0.77921
0.01067	-3.03249
0.0107	-5.60754
0.01073	-9.68969
0.01077	-12.13691
0.0108	-7.39124
0.01083	-7.99183
0.01087	-17.44708
0.0109	-7.78401
0.01093	-5.72751
0.01097	-8.53769
0.011	-0.07078
0.01103	3.44705
0.01107	2.28468
0.0111	0.54858
0.01113	7.65837
0.01117	9.35935
0.0112	4.67263
0.01123	-3.22941
0.01127	-1.12765
0.0113	-7.62548
0.01133	8.37063
0.01137	3.23847
0.0114	6.00275
0.01143	0.04959
0.01147	2.84153
0.0115	5.99526
0.01153	16.89806
0.01157	13.90316
0.0116	7.76736
0.01163	13.02993
0.01167	5.93299
0.0117	8.08132
0.01173	11.68316
0.01177	15.32485
0.0118	15.83549
0.01183	11.92111
0.01187	14.908
0.0119	18.80941
0.01193	18.07825
0.01197	5.99833
0.012	-5.14894
0.01203	-12.15209
0.01207	-3.18643
0.0121	4.99684
0.01213	8.16187
0.01217	11.92502
0.0122	23.20409
0.01223	9.19258
0.01227	2.56928
0.0123	-10.77899
0.01233	-20.58202
0.01237	-20.13248
0.0124	-15.66169
0.01243	-15.64626
0.01247	-20.48987
0.0125	-22.59733
0.01253	-18.72525
0.01257	-17.07105
0.0126	-17.41702
0.01263	-12.12932
0.01267	-8.17595
0.0127	-2.11816
0.01273	-5.76882
0.01277	-2.05776
0.0128	-0.58196
0.01283	-5.33978
0.01287	-2.29199
0.0129	7.37637
0.01293	13.91958
0.01297	18.43604
0.013	11.69115
0.01303	4.87216
0.01307	8.35477
0.0131	9.06548
0.01313	10.12078
0.01317	10.78242
0.0132	8.78984
0.01323	12.20155
0.01327	12.57054
0.0133	11.27177
0.01333	14.73812
0.01337	17.30573
0.0134	6.99872
0.01343	5.95416
0.01347	5.75342
0.0135	3.04856
0.01353	-0.46413
0.01357	8.82712
0.0136	13.10493
0.01363	20.63788
0.01367	13.34598
0.0137	10.26412
0.01373	9.39945
0.01377	15.95935
0.0138	19.84584
0.01383	9.76589
0.01387	11.0482
0.0139	13.40945
0.01393	17.85068
0.01397	22.51334
0.014	24.97963
0.01403	20.32702
0.01407	15.41544
0.0141	11.94124
0.01413	17.59299
0.01417	22.0954
0.0142	17.41061
0.01423	19.36523
0.01427	25.52233
0.0143	20.74347
0.01433	7.48812
0.01437	-3.79231
0.0144	-8.26362
0.01443	-6.89167
0.01447	-16.96573
0.0145	-21.41148
0.01453	-12.09392
0.01457	-15.74231
0.0146	-6.90496
0.01463	-6.83972
0.01467	-5.38002
0.0147	-17.07404
0.01473	-5.31242
0.01477	-1.72135
0.0148	-7.6253
0.01483	-9.02848
0.01487	-1.02991
0.0149	-3.06786
0.01493	-6.56873
0.01497	-12.73363
0.015	-7.9231
0.01503	-4.12055
0.01507	-6.81336
0.0151	-5.97177
0.01513	-1.50591
0.01517	0.31482
0.0152	5.94541
