t[min]		fc[Hz]		error		t[min]		Area[nm^2]	error
2		521.94307	7.8398		2		2.24539		0.52908
4.51706		519.37555	9.65104		4.51706		2.29403		0.3863
7.03412		512.00448	11.17175	7.03412		2.39543		0.34584
9.55118		508.94023	8.7447		9.55118		2.44868		0.31416
12.06824	494.31616	7.61354		12.06824	2.47878		0.30868
14.58529	491.43246	12.29124	14.58529	2.50975		0.29064
17.10235	465.60204	23.32732	17.10235	2.52102		0.30333
19.61941	492.64895	12.18391	19.61941	2.54968		0.34826
22.13647	473.66853	13.01349	22.13647	2.58421		0.34472
24.65353	469.79411	12.67798	24.65353	2.51971		0.3111
27.17059	458.35623	13.56708	27.17059	2.52856		0.31596
29.68765	443.49048	18.36774	29.68765	2.58003		0.28896
32.20471	432.45888	15.55308	32.20471	2.51669		0.29027
34.72176	427.31524	17.01669	34.72176	2.44584		0.2616
37.23882	415.57231	16.28435	37.23882	2.43281		0.24639
39.75588	412.42295	17.15136	39.75588	2.37377		0.26016
42.27294	397.80964	17.40351	42.27294	2.31678		0.262
44.79		391.17793	19.89276	44.79		2.26484		0.26353
47.30706	372.88354	20.3211		47.30706	2.20762		0.27324
49.82412	359.09815	27.2515		49.82412	2.13368		0.27164
52.34118	349.42448	29.01997	52.34118	2.10171		0.27398
54.85824	331.58271	28.57006	54.85824	1.98001		0.24416
57.37529	311.78766	37.72872	57.37529	1.87287		0.23995
59.89235	292.86925	44.8143		59.89235	1.82356		0.24915
62.40941	263.78423	49.44432	62.40941	1.73322		0.24789
64.92647	287.27512	31.98234	64.92647	1.82658		0.14419
67.44353	265.1207	35.82445	67.44353	1.74351		0.15414
69.96059	236.64613	40.19164	69.96059	1.66695		0.15267
72.47765	203.74234	42.93402	72.47765	1.58006		0.16179
74.99471	207.3164	56.95614	74.99471	1.42942		0.24688
77.51176	171.14876	59.43434	77.51176	1.35989		0.25313
